‖(c)‖SI‖En‖© ‖
‖(e)‖SI‖En‖€ ‖
‖(r)‖SI‖En‖® ‖
‖(tm)‖SI‖En‖™ ‖
‖...‖SI‖En‖… ‖
‖al‖SI‖En‖al. ‖
‖art‖SI‖En‖art. ‖
‖atyczeń‖SI‖En‖styczeń ‖
‖azczegółowy‖SI‖En‖szczegółowy ‖
‖badz‖SI‖En‖bądź ‖
‖badź‖SI‖En‖bądź ‖
‖barzdo‖SI‖En‖bardzo ‖
‖basz‖SI‖En‖nasz ‖
‖beda‖SI‖En‖będą ‖
‖bede‖SI‖En‖będę ‖
‖bedzie‖SI‖En‖będzie ‖
‖bedziecie‖SI‖En‖będziecie ‖
‖bedziemy‖SI‖En‖będziemy ‖
‖bedziesz‖SI‖En‖będziesz ‖
‖bedą‖SI‖En‖będą ‖
‖bedę‖SI‖En‖będę ‖
‖byc‖SI‖En‖być ‖
‖byl‖SI‖En‖był ‖
‖byla‖SI‖En‖była ‖
‖bylem‖SI‖En‖byłem ‖
‖byliscie‖SI‖En‖byliście ‖
‖bylismy‖SI‖En‖byliśmy ‖
‖bylo‖SI‖En‖było ‖
‖byly‖SI‖En‖były ‖
‖bądz‖SI‖En‖bądź ‖
‖bąć‖SI‖En‖bądź ‖
‖będa‖SI‖En‖będą ‖
‖będe‖SI‖En‖będę ‖
‖ccheć‖SI‖En‖chcieć ‖
‖chcialbym‖SI‖En‖chciałbym ‖
‖chciec‖SI‖En‖chcieć ‖
‖chcielibysmy‖SI‖En‖chcielibyśmy ‖
‖chociax‖SI‖En‖chociaż ‖
‖chociaź‖SI‖En‖chociaż ‖
‖choviaż‖SI‖En‖chociaż ‖
‖chvieć‖SI‖En‖chcieć ‖
‖cjcieć‖SI‖En‖chcieć ‖
‖cjociaż‖SI‖En‖chociaż ‖
‖codzień‖SI‖En‖co dzień ‖
‖conajmniej‖SI‖En‖co najmniej ‖
‖czerweic‖SI‖En‖czerwiec ‖
‖czesto‖SI‖En‖często ‖
‖czrewiec‖SI‖En‖czerwiec ‖
‖czwaetrk‖SI‖En‖czwartek ‖
‖czwatrek‖SI‖En‖czwartek ‖
‖czynnność‖SI‖En‖czynność ‖
‖czynnosc‖SI‖En‖czynność ‖
‖czynnosć‖SI‖En‖czynność ‖
‖czynnoąć‖SI‖En‖czynność ‖
‖czynnośc‖SI‖En‖czynność ‖
‖częato‖SI‖En‖często ‖
‖częsc‖SI‖En‖część ‖
‖czętso‖SI‖En‖często ‖
‖cżęść‖SI‖En‖część ‖
‖d/s‖SI‖En‖ds. ‖
‖dobzre‖SI‖En‖dobrze ‖
‖dookola‖SI‖En‖dookoła ‖
‖dopoki‖SI‖En‖dopóki ‖
